"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_00099",3824.22468957379,3.83044364758485,0.067061607106104,57.1182799351106,0,0
"IBPFAHIO_00122",63376.1076026502,3.09948650647701,0.0540071155447651,57.3903359809677,0,0
"IBPFAHIO_00127",27859.8728520536,-2.77383908352964,0.0593702440879143,-46.7210321625458,0,0
"IBPFAHIO_00147",3384.41579340093,2.60451434509645,0.0657928396605419,39.5865926829491,0,0
"IBPFAHIO_00148",2622.53282083699,3.13290583559298,0.0725350013472312,43.1916423437493,0,0
"IBPFAHIO_00189",25168.1984642175,-2.10753543517675,0.0499194284442478,-42.2187412968988,0,0
"IBPFAHIO_00192",2863.09688025086,2.99338781358521,0.073055531081306,40.9741434944024,0,0
"IBPFAHIO_00195",5374.99440417318,-5.41981912542869,0.0855670482779595,-63.3400267334539,0,0
"IBPFAHIO_00196",8714.72962137941,-6.01905370968728,0.102164715535017,-58.9151908089469,0,0
"IBPFAHIO_00197",8023.41821769101,-5.48426122619931,0.0714429623192099,-76.764191295644,0,0
"IBPFAHIO_00272",4912.81248056362,4.65758098785196,0.0739814110755438,62.9560982973955,0,0
"IBPFAHIO_00312",1220.00305763541,4.99328018051347,0.120695876790757,41.370760238728,0,0
"IBPFAHIO_00313",920.704107977171,4.36760437712647,0.115789973449321,37.7200568150929,0,0
"IBPFAHIO_00314",3683.50678923208,7.33942706563574,0.135855677143171,54.0237053023636,0,0
"IBPFAHIO_00315",2354.21950360979,7.05150649110177,0.152396303249162,46.2708500190641,0,0
"IBPFAHIO_00317",3480.47373814461,7.00006279576739,0.13397020960218,52.2508908253099,0,0
"IBPFAHIO_00319",2588.88708488166,3.48226035735772,0.0927131334364301,37.559515338195,0,0
"IBPFAHIO_00322",10181.3116456442,4.33808561011587,0.0808306569669762,53.6688154333351,0,0
"IBPFAHIO_00323",1547.0733194146,3.60273111154069,0.0878208798158764,41.0236280835959,0,0
"IBPFAHIO_00328",7355.11453298356,3.16427445835926,0.0781843306490398,40.4719773398498,0,0
"IBPFAHIO_00330",6183.33700951217,3.15244302531334,0.070735479093648,44.5666455604233,0,0
"IBPFAHIO_00337",2744.46718012879,-3.02799159737645,0.0726568881264207,-41.6752172499851,0,0
"IBPFAHIO_00349",9299.76352844612,-4.5722471716725,0.0712118338115787,-64.2062832389675,0,0
"IBPFAHIO_00350",2879.57025436614,-4.94043232457324,0.0951039618819382,-51.9477025647604,0,0
"IBPFAHIO_00377",1860.73304935889,-3.0784819222427,0.077373793488364,-39.7871395914648,0,0
"IBPFAHIO_00378",2898.97461891322,-3.1927480379239,0.0702733196798413,-45.4332889419449,0,0
"IBPFAHIO_00387",3710.53727136988,-2.49767205081354,0.0645567475734753,-38.6895583296047,0,0
"IBPFAHIO_00397",11365.3266427175,5.62234494544686,0.0760474479780253,73.9320660316109,0,0
"IBPFAHIO_00415",2287.0146133569,4.79075871361829,0.106082954006715,45.1604949963501,0,0
"IBPFAHIO_00432",4721.89258901771,3.05640647498307,0.0603774859157327,50.6216254060134,0,0
"IBPFAHIO_00454",12351.6369174503,3.66566104038337,0.0647687146835763,56.5961677376453,0,0
"IBPFAHIO_00460",13751.2256206094,-2.09616810461234,0.0511627574771196,-40.9705850109773,0,0
"IBPFAHIO_00491",1991.20553265326,3.52125548645079,0.0827146181644984,42.5711387489924,0,0
"IBPFAHIO_00499",16421.8291350614,2.86513271887556,0.0544033578852081,52.6646300936246,0,0
"IBPFAHIO_00504",4283.55814179144,-3.26885123615247,0.0691744014511279,-47.2552153336944,0,0
"IBPFAHIO_00505",6817.93036977967,-3.64660279636215,0.0757522405494828,-48.1385470569694,0,0
"IBPFAHIO_00518",3307.3640563927,-2.83228137309856,0.0660224049849322,-42.898791307965,0,0
"IBPFAHIO_00533",13942.2352093855,7.75741917721141,0.102268039534809,75.8537976526969,0,0
"IBPFAHIO_00585",32032.8241860103,5.82676692176092,0.0856148223083055,68.0579222693272,0,0
"IBPFAHIO_00596",27781.9223876353,3.74509014321924,0.0594458573301824,63.0000190327434,0,0
"IBPFAHIO_00597",9485.10383320498,3.48730066991726,0.0582861248986516,59.8307174474373,0,0
"IBPFAHIO_00598",3048.66710415177,5.6414934098053,0.10349507759805,54.5097751577667,0,0
"IBPFAHIO_00663",6699.90782422616,-2.32411756324687,0.0596901788477064,-38.9363477897533,0,0
"IBPFAHIO_00667",1679.06729792028,5.11997836844261,0.105453662466502,48.5519255442551,0,0
"IBPFAHIO_00668",4168.83650390938,4.94489425489817,0.0806922301634341,61.2809219039153,0,0
"IBPFAHIO_00717",20762.1080554003,2.91511343864588,0.0724186213217293,40.2536445107827,0,0
"IBPFAHIO_00813",13818.5102723476,4.30870104954539,0.0708111464110144,60.8477798754461,0,0
"IBPFAHIO_00824",8512.23162603305,-2.34916072844579,0.0572196428925652,-41.0551448714306,0,0
"IBPFAHIO_00825",4348.4590504941,-3.0823072475922,0.0660985549701739,-46.6319914101459,0,0
"IBPFAHIO_00826",7635.12438346636,-2.49320722002993,0.0551247128034891,-45.228484525948,0,0
