"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"IBPFAHIO_00001",0,0.985181148828051,0,0,0,0
"IBPFAHIO_00003",4.6190247526137,2.95554344648415,2.13259537119815,2.74146009983033,0.907192033924242,1.9789132649137
"IBPFAHIO_00004",154.737329212559,143.836447728895,157.812057468663,122.451884459088,123.378116613697,132.587188749218
"IBPFAHIO_00006",801.400794578477,866.959410968685,861.568529964052,1485.87137410804,1445.15691004132,1404.03896145627
"IBPFAHIO_00007",177.832452975627,202.947316658579,167.408736639055,393.856434342291,361.062429501848,333.446885137958
"IBPFAHIO_00008",5.77378094076713,1.9703622976561,1.06629768559907,4.56910016638388,3.62876813569697,4.94728316228425
"IBPFAHIO_00009",1131.66106439036,1084.68444485968,1124.94405830702,1058.20359853451,926.243066636651,1017.16141816564
"IBPFAHIO_00010",1833.75282678764,1803.86668350416,1762.59007429527,1348.79836911652,1339.01544207218,1379.30254564485
"IBPFAHIO_00011",63.5115903484384,56.1553254831989,71.441944935138,86.8129031612938,78.0185149174848,79.156530596548
"IBPFAHIO_00012",100.463788369348,111.32546981757,139.684996813479,103.261663760276,120.656540511924,116.755882629908
"IBPFAHIO_00013",13689.6346105589,13536.3889848974,13931.1792623519,8271.89894122138,8528.5123109218,8562.75769728158
"IBPFAHIO_00014",1117.80399013252,1170.39520480772,1075.89436476947,1440.1803724442,1309.07810495268,1370.39743595274
"IBPFAHIO_00015",890.317021066291,910.307381517119,892.491162846425,583.017181230583,614.169006966712,609.505285593419
"IBPFAHIO_00016",980.388003742258,1017.69212673938,1000.18722909193,634.191103094083,615.98339103456,557.064084073206
"IBPFAHIO_00017",1456.14755326147,1455.11255681903,1371.25882368041,1065.51415880072,893.584153415378,981.540979397195
"IBPFAHIO_00018",7182.5834903143,7462.74720237249,7064.22216709386,4341.55897809796,4154.0323233391,4015.2150145099
"IBPFAHIO_00019",21172.454709793,21240.5055687328,20603.0038811453,17715.3151651036,20194.0946751536,20308.5973811768
"IBPFAHIO_00020",5.77378094076713,1.9703622976561,5.33148842799537,4.56910016638388,4.53596016962121,10.8840229570253
"IBPFAHIO_00021",73.9043960418192,74.8737673109319,79.9723264199305,31.0698811314104,25.4013769498788,33.6415255035329
"IBPFAHIO_00022",0,0,0,0,0,0
"IBPFAHIO_00023",3.46426856446028,3.9407245953122,5.33148842799537,1.82764006655355,13.6078805088636,8.90510969211165
"IBPFAHIO_00024",193.999039609775,223.636120783968,182.336904237442,192.8160270214,244.034657125621,284.963510147573
"IBPFAHIO_00025",7907.77037647466,6897.25322294519,7020.5039619843,600.379761862842,715.774514766227,803.438785554962
"IBPFAHIO_00026",12.7023180696877,12.8073549347647,12.7955722271889,6.39674023293743,14.5150725427879,15.8313061193096
"IBPFAHIO_00027",9665.30929484417,7959.27850138182,7453.42082233753,1060.94505863434,1206.56540511924,948.888910526119
"IBPFAHIO_00028",1189.39887379803,1160.54339331944,1161.19817961739,2180.37459939839,2110.12867090779,2076.86947152693
"IBPFAHIO_00029",745.972497547113,776.322745276504,747.474677604951,632.363463027529,650.456688323682,728.240081488241
"IBPFAHIO_00030",9.2380495052274,11.8221737859366,6.39778611359444,6.39674023293743,9.97911237316666,7.9156530596548
"IBPFAHIO_00031",269.058191839748,272.89517822537,253.77884917258,101.434023693722,106.141467969136,111.808599467624
"IBPFAHIO_00032",524.259309421655,526.086733474179,531.016247428339,154.435585623775,164.201758140288,144.4606683387
"IBPFAHIO_00033",0,0.985181148828051,0,0,0,0.98945663245685
"IBPFAHIO_00034",57.7378094076713,58.125687780855,58.6463727079491,38.3804413976246,42.6380255944394,35.6204387684466
"IBPFAHIO_00035",12845.5078370187,12880.2583397779,12150.4621274014,4882.54043779782,4644.82321369212,4732.57107304111
"IBPFAHIO_00037",254.046361393754,217.725033890999,229.254002403801,478.841697437031,481.718970013773,500.665056023166
"IBPFAHIO_00038",3419.23307312229,2979.18779405603,3260.73832256197,1724.37840279328,1831.62071649304,1736.49638996177
"IBPFAHIO_00039",971.149954237031,1010.79585869758,918.082307300803,849.852630947402,1050.52837528427,942.952170731378
"IBPFAHIO_00040",242.498799512219,208.858403551547,237.784383888593,204.695687453998,202.303823565106,203.828066286111
"IBPFAHIO_00041",1065.83996166561,914.248106112431,951.137535554374,1035.35809770259,1088.63044070909,1008.25630847353
"IBPFAHIO_00042",2092.41821293401,1919.13287791704,1722.0707622425,239.420848718515,259.456921702333,271.111117293177
"IBPFAHIO_00043",1247.1366832057,1239.35788522569,1234.77271992373,340.854872412238,329.3107083145,320.583948916019
"IBPFAHIO_00044",1260.99375746354,1139.85458919406,1303.01577180207,335.371952212577,218.633280175742,227.575025465075
"IBPFAHIO_00045",42.7259789616767,40.3924271019501,46.9170981663593,22.8455008319194,18.1438406784848,25.7258724438781
"IBPFAHIO_00046",2576.26105577029,2411.72345233107,2408.76647176831,472.444957204093,501.677194760106,496.707229493339
"IBPFAHIO_00047",5594.79373160334,5278.6005954207,5459.44415026726,1083.79055946626,1055.97152748782,1082.46555590779
"IBPFAHIO_00048",1448.0642599444,1580.23056272019,1632.50175665218,308.87117124755,366.505581705394,331.467971873045
"IBPFAHIO_00049",1710.19391465522,1897.45889264283,1736.99892984089,402.080814641782,423.658679842621,420.519068794161
"IBPFAHIO_00050",2205.58431937304,2054.10269530649,2133.66166888375,421.271035340594,436.35936831756,373.025150436232
"IBPFAHIO_00051",311.784170801425,285.702533160135,340.148961706105,74.9332427286957,51.7099459336818,71.2408775368932
"IBPFAHIO_00052",87.7614702996603,97.5329337339771,91.7016009615204,28.3284210315801,21.7726088141818,20.7785892815938
"IBPFAHIO_00053",139.725498766564,128.073549347647,129.022019957488,44.777181630562,40.8236415265909,28.6942423412486
"IBPFAHIO_00054",961.911904731803,835.433614206187,888.225972104029,310.698811314104,327.496324246651,282.984596882659
"IBPFAHIO_00055",237.879774759606,242.354562611701,230.3203000894,84.0714430614634,71.6681706800151,78.1670739640911
"IBPFAHIO_00056",205.54660149131,219.695396188655,235.651788517395,67.6226824624814,93.4407794941969,85.0932703912891
"IBPFAHIO_00057",0,0,0,0,0,0
"IBPFAHIO_00058",0,0,0,0,0,0
"IBPFAHIO_00059",1332.58864112905,1445.26074533075,1458.69523389953,360.958913144327,350.176125094757,379.95134686343
"IBPFAHIO_00060",4.6190247526137,7.88144919062441,7.46408379919352,1.82764006655355,1.81438406784848,0
"IBPFAHIO_00061",1427.27864855763,1549.68994710652,1613.3083983114,741.108046987466,847.317359685242,831.143571263754
"IBPFAHIO_00062",2080.87065105247,1914.2069721729,2080.34678460379,433.150695773192,404.607647130212,418.540155529247
"IBPFAHIO_00063",989.626053247485,1002.91440950696,879.695590619236,813.299829616331,776.556381039151,742.092474342637
"IBPFAHIO_00064",71.5948836655124,66.9923181203075,58.6463727079491,70.3641425623118,66.2250184764697,64.3146811096952
"IBPFAHIO_00065",76.2139084181261,46.3035139949184,57.58007502235,51.1739218634995,40.8236415265909,37.5993520333603
"IBPFAHIO_00066",71.5948836655124,82.7552165015563,89.5690055903222,72.1917826288653,85.2760511888788,80.1459872290048
"IBPFAHIO_00067",116.630375003496,110.340288668742,131.154615328686,114.227504159597,96.1623555959697,88.0616402886596
"IBPFAHIO_00068",408.783690606313,369.442930810519,388.132357558063,270.490729849926,263.992881871954,259.237637703695
"IBPFAHIO_00069",244.808311888526,271.909997076542,275.104802884561,213.833887786766,264.900073905879,224.606655567705
"IBPFAHIO_00070",210.165626243923,243.339743760529,276.17110057016,228.455008319194,234.055544752454,218.669915772964
"IBPFAHIO_00071",765.603352745721,763.51539034174,777.331012801725,597.638301763012,608.725854763166,592.684522841653
"IBPFAHIO_00072",15.0118304459945,10.8369926371086,20.2596560263824,15.5349405657052,12.7006884749394,5.9367397947411
"IBPFAHIO_00073",73.9043960418192,69.9478615667916,106.629768559907,65.7950423959279,109.770236104833,97.9562066132281
"IBPFAHIO_00074",8.08329331707398,14.7777172324208,13.861869912788,11.8796604325981,13.6078805088636,15.8313061193096
"IBPFAHIO_00075",81.9876893588932,67.9774992691355,101.298280131912,74.0194226954189,80.7400910192575,72.23033416935
"IBPFAHIO_00076",151.273060648099,151.71789691952,146.082782927073,136.15918495824,110.677428138758,111.808599467624
"IBPFAHIO_00077",214.784650996537,249.250830653497,286.834077426151,179.108726522248,160.572990004591,155.344691295725
"IBPFAHIO_00078",327.950757435573,340.872677494506,345.4804501341,460.565296771495,296.651795093227,325.531232078304
"IBPFAHIO_00079",62.356834160285,77.829310757416,77.8397310487324,103.261663760276,71.6681706800151,80.1459872290048
"IBPFAHIO_00080",550.818701749184,576.33097206441,605.657085420274,544.636739832959,529.800147811757,489.781033066141
"IBPFAHIO_00081",0,0,0,0,0,0
"IBPFAHIO_00082",0,0,0,0,0,0
"IBPFAHIO_00083",0,0,0,0,0,0
"IBPFAHIO_00084",8.08329331707398,18.718441827733,22.3922513975806,19.1902206988123,21.7726088141818,12.862936221939
"IBPFAHIO_00085",16.166586634148,14.7777172324208,15.9944652839861,12.7934804658749,5.44315220354545,8.90510969211165
"IBPFAHIO_00086",11.5475618815343,11.8221737859366,12.7955722271889,16.448760598982,7.25753627139394,11.8734795894822
"IBPFAHIO_00087",25.4046361393754,21.6739852742171,20.2596560263824,18.2764006655355,14.5150725427879,14.8418494868527
"IBPFAHIO_00088",184.760990104548,188.169599426158,171.673927381451,200.126587287614,228.612392548909,195.912413226456
"IBPFAHIO_00089",3.46426856446028,13.7925360835927,9.59667917039167,10.0520203660445,22.6798008481061,19.789132649137
"IBPFAHIO_00090",0,0,0,0.913820033276776,0,0.98945663245685
"IBPFAHIO_00091",21.9403675749151,24.6295287207013,19.1933583407833,48.4324617636691,52.617137967606,56.3990280500404
"IBPFAHIO_00092",8.08329331707398,9.85181148828051,6.39778611359444,5.48292019966066,7.25753627139394,5.9367397947411
"IBPFAHIO_00093",36.9521980209096,33.4961590601537,37.3204189959676,65.7950423959279,72.5753627139394,65.3041377421521
"IBPFAHIO_00094",1.15475618815343,1.9703622976561,0,2.74146009983033,0.907192033924242,1.9789132649137
"IBPFAHIO_00095",6988.58445070453,6956.36409187487,7138.8630050858,15295.5197169867,16336.7141469078,15168.3701755635
"IBPFAHIO_00096",2413.44043324066,1857.06646554088,1931.06510861992,300.646790948059,281.229530516515,281.995140250202
"IBPFAHIO_00097",219.403675749151,247.280468355841,231.386597774999,1431.95599214471,1797.14741920392,1991.77620113564
