Gene	ERR1797969	ERR1797970	ERR1797971	ERR1797972	ERR1797973	ERR1797974
IBPFAHIO_00126	1262	1404	1357	1549	1627	1508
IBPFAHIO_00127	6251	7351	6436	50123	54382	51238
IBPFAHIO_00128	10896	12076	11008	62197	58989	52114
IBPFAHIO_00129	2172	2694	2351	7885	7250	6059
IBPFAHIO_00130	3236	3717	3291	4592	3785	3648
IBPFAHIO_00131	1101	1264	1151	3205	3300	3001
IBPFAHIO_00132	398	519	468	992	1028	1051
IBPFAHIO_00133	2873	3389	2959	5664	4925	4610
IBPFAHIO_00134	8191	8867	8104	15235	13215	11677
IBPFAHIO_00135	7069	8103	7294	11853	11551	10431
IBPFAHIO_00136	1203	1400	1262	5628	6142	5777
IBPFAHIO_00137	3768	4201	3916	14689	15011	13826
IBPFAHIO_00138	712	933	852	2923	2608	2520
IBPFAHIO_00139	1301	1408	1428	5313	4531	3873
IBPFAHIO_00140	9385	10397	9870	23389	21607	20606
IBPFAHIO_00141	4614	5522	5238	7381	8201	6479
IBPFAHIO_00142	882	1027	949	215	221	177
IBPFAHIO_00143	3704	3977	3755	776	731	665
IBPFAHIO_00144	1630	1875	1663	337	366	325
IBPFAHIO_00145	272	326	333	1037	849	756
IBPFAHIO_00146	336	403	438	1713	1567	1475
IBPFAHIO_00147	5129	5999	5257	1063	999	1001
IBPFAHIO_00148	4237	4716	4301	622	554	545
IBPFAHIO_00149	385	422	395	62	69	75
IBPFAHIO_00150	367	433	395	91	127	105
IBPFAHIO_00151	47	40	44	65	68	66
IBPFAHIO_00152	279	355	321	252	296	248
IBPFAHIO_00153	504	552	572	538	619	535
IBPFAHIO_00154	1585	1496	1694	182	185	157
IBPFAHIO_00155	52	67	86	139	105	103
IBPFAHIO_00156	794	960	821	987	813	697
IBPFAHIO_00157	1236	1410	1374	6718	7228	6544
IBPFAHIO_00158	1332	1367	1318	6847	6753	6297
IBPFAHIO_00159	11765	13211	12135	36944	38981	34394
IBPFAHIO_00160	1864	2093	1917	8117	6526	5899
IBPFAHIO_00161	1	4	2	12	11	11
IBPFAHIO_00162	8791	10334	9147	20559	19367	17561
IBPFAHIO_00163	11837	13225	12974	29539	29953	28371
IBPFAHIO_00164	3877	4282	4006	2559	2517	2246
IBPFAHIO_00165	6846	8013	7325	4488	4146	3731
IBPFAHIO_00166	2806	3322	2983	8424	8149	7717
IBPFAHIO_00167	3437	3854	3401	8655	9186	7757
IBPFAHIO_00168	3234	3434	3253	2718	2718	2411
IBPFAHIO_00169	5001	5575	5078	4594	4746	4222
IBPFAHIO_00170	2341	2878	2599	2263	2378	2243
IBPFAHIO_00171	41	41	55	31	31	32
IBPFAHIO_00172	60	70	64	38	43	45
IBPFAHIO_00173	319	407	326	139	127	135
IBPFAHIO_00174	10	8	10	8	4	3
IBPFAHIO_00175	145	158	151	124	114	101
IBPFAHIO_00176	198	201	240	30	21	29
IBPFAHIO_00177	219	267	231	32	27	23
IBPFAHIO_00178	103	107	120	33	39	26
IBPFAHIO_00179	2277	2489	2356	1492	1487	1226
IBPFAHIO_00180	4801	5346	4924	7540	6448	6097
IBPFAHIO_00181	4676	5750	5256	3305	2646	2493
IBPFAHIO_00182	12058	12647	11696	8638	7442	6757
IBPFAHIO_00183	12901	15019	13966	10728	9205	8067
