Gene	ERR1797969	ERR1797970	ERR1797971	ERR1797972	ERR1797973	ERR1797974
IBPFAHIO_00519	4809	5765	5001	3509	3441	3321
IBPFAHIO_00520	10491	11549	10983	9033	9169	8272
IBPFAHIO_00521	6345	7274	6862	5200	5302	4548
IBPFAHIO_00522	2317	2809	2531	2154	2462	2230
IBPFAHIO_00523	1	0	1	1	3	2
IBPFAHIO_00524	942	1210	1086	2123	2083	2208
IBPFAHIO_00525	1806	2302	1994	4371	4897	4248
IBPFAHIO_00526	83	113	107	460	638	551
IBPFAHIO_00527	840	948	916	451	478	452
IBPFAHIO_00528	500	569	584	353	406	338
IBPFAHIO_00529	307	320	338	519	501	463
IBPFAHIO_00530	4475	4889	4576	975	822	778
IBPFAHIO_00532	568	617	644	932	729	595
IBPFAHIO_00533	23691	30209	24525	173	131	108
IBPFAHIO_00534	1168	1304	1195	683	550	421
IBPFAHIO_00535	2213	2539	2369	1274	1234	1104
IBPFAHIO_00536	51	62	54	34	48	51
IBPFAHIO_00537	1695	1957	1766	208	182	169
IBPFAHIO_00538	663	717	701	71	68	56
IBPFAHIO_00539	1543	1461	1482	242	273	208
IBPFAHIO_00540	3508	4863	4311	1526	1783	1537
IBPFAHIO_00542	230	281	245	182	174	162
IBPFAHIO_00543	6252	8093	7260	2765	2709	2420
IBPFAHIO_00544	578	673	553	1364	1236	1107
IBPFAHIO_00545	1305	1585	1393	1689	1779	1588
IBPFAHIO_00546	2670	3057	2956	2393	2353	2164
IBPFAHIO_00547	1253	1670	1377	1502	1833	1654
IBPFAHIO_00548	1094	1308	1198	824	736	716
IBPFAHIO_00549	368	533	441	1422	1590	1659
IBPFAHIO_00550	907	1018	932	4967	5457	4798
IBPFAHIO_00551	261	318	328	681	734	686
IBPFAHIO_00552	285	298	296	942	841	783
IBPFAHIO_00553	1380	1998	1879	10247	11098	10226
IBPFAHIO_00554	1625	1812	1611	1352	1312	1240
IBPFAHIO_00555	881	1066	892	365	400	351
IBPFAHIO_00556	356	476	430	645	585	555
IBPFAHIO_00557	145	181	160	323	311	282
IBPFAHIO_00558	92	100	85	183	154	169
IBPFAHIO_00559	34	30	41	78	67	72
IBPFAHIO_00560	1989	2298	2208	3146	3082	2739
IBPFAHIO_00561	607	746	638	789	792	753
IBPFAHIO_00562	741	848	790	1329	1404	1209
IBPFAHIO_00563	2528	2938	2761	2423	2494	2101
IBPFAHIO_00564	1814	2177	1952	1995	1814	1654
IBPFAHIO_00565	3638	4045	3674	4424	4490	4051
IBPFAHIO_00566	15985	18781	16507	25505	21990	20373
IBPFAHIO_00567	4064	4572	4134	6844	6720	5900
IBPFAHIO_00568	858	1088	988	1312	1341	1113
IBPFAHIO_00569	1702	1884	1840	3461	3373	3102
IBPFAHIO_00570	7194	8338	7469	25415	25956	23882
IBPFAHIO_00571	679	794	734	1553	1371	1178
IBPFAHIO_00572	329	392	310	487	462	487
IBPFAHIO_00573	4234	4811	3956	11390	10575	9224
IBPFAHIO_00574	4894	5348	4751	13514	13040	11795
IBPFAHIO_00575	1496	1659	1522	5461	5629	4695
IBPFAHIO_00576	1913	2238	2033	8565	9271	7899
IBPFAHIO_00577	486	572	528	540	441	434
IBPFAHIO_00578	2266	2967	2439	3141	2599	2554
IBPFAHIO_00579	11	27	22	19	12	13
IBPFAHIO_00580	9	9	8	12	10	8
IBPFAHIO_00581	3	3	1	11	3	10
IBPFAHIO_00582	21	19	29	37	38	33
IBPFAHIO_00583	39	35	44	39	47	41
IBPFAHIO_00584	33	34	28	85	74	73
IBPFAHIO_00585	50183	59848	67486	1292	1242	1030
IBPFAHIO_00586	62336	71288	79400	364	204	203
IBPFAHIO_00587	54626	60244	66819	305	186	156
IBPFAHIO_00588	13250	13838	15338	81	45	52
IBPFAHIO_00589	37290	43879	46439	199	119	111
IBPFAHIO_00590	40405	46066	49217	166	102	77
IBPFAHIO_00591	92994	105562	107147	381	178	147
IBPFAHIO_00592	26546	29477	29772	99	33	38
IBPFAHIO_00593	6318	6896	6790	17	12	5
IBPFAHIO_00594	31629	36860	35014	120	58	50
IBPFAHIO_00595	1686	2117	1972	253	297	266
IBPFAHIO_00596	44299	54527	47126	4183	4478	3722
IBPFAHIO_00597	15461	17639	15961	1679	1670	1628
IBPFAHIO_00598	5130	6586	5177	138	122	124
IBPFAHIO_00599	10757	13866	11758	5928	6600	5912
IBPFAHIO_00600	7119	8159	7455	3146	3002	2941
IBPFAHIO_00601	64	67	59	66	66	44
IBPFAHIO_00602	12	18	19	6	20	18
IBPFAHIO_00603	26	18	23	24	24	21
IBPFAHIO_00604	13	19	22	12	17	20
IBPFAHIO_00605	20	18	20	23	32	29
IBPFAHIO_00606	3574	3771	3528	2102	2024	1853
IBPFAHIO_00607	3138	3370	3089	2271	2031	1899
IBPFAHIO_00608	5559	6105	5682	4233	3847	3534
IBPFAHIO_00609	1614	1506	1425	1146	941	981
IBPFAHIO_00610	1391	1570	1421	1484	1484	1396
IBPFAHIO_00611	725	859	733	355	383	363
IBPFAHIO_00612	215	232	221	257	237	259
IBPFAHIO_00613	4324	4584	4455	2146	2162	1903
IBPFAHIO_00614	1281	1391	1252	575	441	444
IBPFAHIO_00615	788	949	876	69	56	66
IBPFAHIO_00616	442	452	450	48	38	31
IBPFAHIO_00617	333	328	336	53	47	47
IBPFAHIO_00618	100	145	121	52	67	59
IBPFAHIO_00619	10	17	19	16	16	23
IBPFAHIO_00620	4670	5260	4935	7977	8383	7268
IBPFAHIO_00621	2533	2753	2489	3446	3282	3144
IBPFAHIO_00622	3148	3520	3443	4560	4464	4151
IBPFAHIO_00623	79	101	78	84	77	91
IBPFAHIO_00625	168	244	189	480	505	430
IBPFAHIO_00626	207	272	235	369	372	396
IBPFAHIO_00627	13	29	20	18	27	12
IBPFAHIO_00628	196	283	262	369	421	403
IBPFAHIO_00629	131	158	148	71	71	64
IBPFAHIO_00630	1254	1623	1384	410	426	361
IBPFAHIO_00631	796	891	840	774	764	674
IBPFAHIO_00632	3578	4500	4279	2504	2783	2410
IBPFAHIO_00633	1101	1137	1048	371	338	345
IBPFAHIO_00634	640	736	661	243	270	211
IBPFAHIO_00635	1090	1183	1150	506	524	442
IBPFAHIO_00636	824	962	912	338	291	311
IBPFAHIO_00637	2535	2932	2488	1851	1884	1637
IBPFAHIO_00638	203	171	131	146	108	83
IBPFAHIO_00639	1345	1557	1351	1079	1049	923
IBPFAHIO_00640	1736	2159	1746	1910	1920	1687
IBPFAHIO_00641	21	24	31	72	99	105
IBPFAHIO_00642	272	353	327	2265	2559	2238
IBPFAHIO_00643	6904	8011	6865	2919	2827	2970
IBPFAHIO_00644	1158	1305	1195	715	696	651
IBPFAHIO_00645	1042	1075	1113	86	85	60
IBPFAHIO_00646	642	637	590	41	49	52
IBPFAHIO_00647	875	879	872	534	522	523
IBPFAHIO_00648	491	671	606	72	79	89
IBPFAHIO_00649	457	528	429	1459	1459	1408
IBPFAHIO_00650	3095	3553	3191	7968	8129	7396
IBPFAHIO_00651	680	688	743	1754	1874	1632
IBPFAHIO_00652	2586	2948	2963	5709	6708	6300
IBPFAHIO_00653	11015	11993	10848	19345	18394	16694
IBPFAHIO_00654	5008	5850	5253	14046	12881	11049
IBPFAHIO_00655	1339	1341	1179	1316	1201	1110
IBPFAHIO_00656	1195	1472	1344	2705	2728	2486
IBPFAHIO_00657	1661	2024	1680	3215	3564	3430
IBPFAHIO_00658	1959	2512	2408	5511	6298	4884
IBPFAHIO_00659	3956	4329	3635	10333	9704	8683
IBPFAHIO_00660	684	797	725	4189	3849	3052
IBPFAHIO_00661	502	568	524	2543	2552	2473
IBPFAHIO_00662	1704	1956	1859	7013	7170	6504
IBPFAHIO_00663	1969	2264	2052	12546	12565	10757
IBPFAHIO_00664	104	119	103	458	535	487
IBPFAHIO_00665	820	1036	826	1732	1832	1568
IBPFAHIO_00666	869	1010	874	2189	2240	1967
IBPFAHIO_00667	2908	3278	3006	105	100	96
IBPFAHIO_00668	6618	8227	7952	273	303	265
IBPFAHIO_00669	3155	3408	3492	3311	3040	2913
IBPFAHIO_00670	351	485	436	418	458	427
IBPFAHIO_00671	1843	2100	1996	1830	1879	1713
IBPFAHIO_00672	1496	1862	1612	1596	1719	1571
IBPFAHIO_00673	3049	3458	3154	3647	3341	2981
IBPFAHIO_00674	4891	5465	5073	10087	10010	9069
IBPFAHIO_00675	2231	2886	2601	688	623	570
IBPFAHIO_00676	847	990	921	1203	1034	1131
IBPFAHIO_00677	1320	1565	1398	1875	2084	1849
IBPFAHIO_00678	2515	3222	2871	4846	5031	4508
IBPFAHIO_00679	1076	1271	1116	5828	5195	4932
IBPFAHIO_00680	231	285	246	1496	1566	1445
IBPFAHIO_00681	2077	2286	2232	2004	2022	1661
IBPFAHIO_00682	2978	3318	2934	3297	3249	2997
IBPFAHIO_00683	645	638	591	1033	1032	924
IBPFAHIO_00684	210	243	214	374	348	309
IBPFAHIO_00685	2632	3085	2766	2733	2427	2074
IBPFAHIO_00686	5359	5834	5468	5836	5465	4711
IBPFAHIO_00687	1143	1246	1238	813	675	633
IBPFAHIO_00688	21115	27837	25408	23455	27199	26923
IBPFAHIO_00689	3392	3841	3564	13127	11889	11250
IBPFAHIO_00690	25517	27093	24435	22471	21282	20035
IBPFAHIO_00691	628	770	760	4258	3889	3428
IBPFAHIO_00692	2212	2493	2510	8143	7863	6936
IBPFAHIO_00693	646	633	662	376	400	339
IBPFAHIO_00694	68	76	71	66	48	53
IBPFAHIO_00695	810	1049	913	719	711	743
IBPFAHIO_00696	220	267	251	463	437	407
IBPFAHIO_00697	11287	12777	11999	9204	8769	8135
IBPFAHIO_00698	8234	10010	9429	11866	13044	11531
IBPFAHIO_00699	1066	1403	1118	1074	823	813
IBPFAHIO_00700	2674	2955	2781	4274	4024	3594
IBPFAHIO_00701	1498	1715	1568	2667	2259	1831
IBPFAHIO_00702	1930	2165	2038	3143	2807	2445
IBPFAHIO_00703	650	646	592	995	881	833
IBPFAHIO_00704	2504	2824	2609	4170	3695	3425
IBPFAHIO_00705	0	1	0	9	5	5
IBPFAHIO_00706	865	1087	880	2228	1810	1785
IBPFAHIO_00707	1417	1659	1520	2475	2852	2441
IBPFAHIO_00708	2619	3002	2821	8338	8104	7883
IBPFAHIO_00709	2	0	3	3	0	2
IBPFAHIO_00710	11843	13458	12432	15569	12857	12129
IBPFAHIO_00711	5040	5747	5335	9374	7768	7152
IBPFAHIO_00712	1913	2266	2135	8868	8253	7575
IBPFAHIO_00713	935	1080	985	899	710	753
IBPFAHIO_00714	315	294	294	163	174	154
IBPFAHIO_00715	167	183	185	513	546	448
IBPFAHIO_00716	1495	1665	1578	2719	2889	2673
IBPFAHIO_00717	32847	38212	32276	5879	5189	4549
IBPFAHIO_00718	2121	2460	2282	1307	1496	1273
IBPFAHIO_00719	795	853	797	3467	3140	2721
IBPFAHIO_00720	9968	11579	10243	2476	2417	2003
IBPFAHIO_00721	729	787	639	152	135	139
IBPFAHIO_00722	1893	2449	1977	8704	8919	8888
IBPFAHIO_00723	3848	4536	4016	8781	7885	6989
IBPFAHIO_00724	1625	1888	1753	5524	5457	4853
IBPFAHIO_00725	1747	2069	1878	5227	5298	4668
IBPFAHIO_00726	173	204	200	473	505	457
IBPFAHIO_00727	10486	12202	11047	16514	16015	15107
IBPFAHIO_00728	1965	2370	2175	4867	5409	4544
IBPFAHIO_00729	850	904	865	2009	1887	1708
IBPFAHIO_00730	13	6	8	23	26	36
IBPFAHIO_00731	27	24	31	97	119	97
IBPFAHIO_00732	338	358	323	774	711	755
IBPFAHIO_00733	35	76	50	227	245	208
IBPFAHIO_00734	2379	2445	2703	1228	1199	928
IBPFAHIO_00735	209	265	221	496	449	415
IBPFAHIO_00736	38	33	35	46	40	37
IBPFAHIO_00737	522	547	546	823	844	705
IBPFAHIO_00738	55	69	85	125	164	162
IBPFAHIO_00739	24	28	27	51	56	47
IBPFAHIO_00740	30	19	14	20	22	22
IBPFAHIO_00741	5	2	1	6	5	3
IBPFAHIO_00742	20	21	25	24	26	24
IBPFAHIO_00743	10	12	3	1	1	3
IBPFAHIO_00744	6	3	3	1	3	3
IBPFAHIO_00745	26	49	35	90	106	124
IBPFAHIO_00746	119	150	155	241	270	231
IBPFAHIO_00747	38	46	27	93	84	78
IBPFAHIO_00748	359	461	361	395	433	371
IBPFAHIO_00749	743	704	739	177	188	173
IBPFAHIO_00750	85	69	72	170	172	154
IBPFAHIO_00751	245	312	292	348	395	355
IBPFAHIO_00752	796	858	959	124	128	98
IBPFAHIO_00753	3051	3001	3166	487	459	359
IBPFAHIO_00754	123	115	116	148	125	106
IBPFAHIO_00755	132	153	128	148	160	137
IBPFAHIO_00756	111	98	94	138	134	109
IBPFAHIO_00757	33	47	28	49	46	43
IBPFAHIO_00758	50	61	74	73	57	48
IBPFAHIO_00759	17	10	10	12	13	13
IBPFAHIO_00760	29	33	31	39	44	33
IBPFAHIO_00761	1	4	0	2	0	0
IBPFAHIO_00762	22	20	13	11	24	10
IBPFAHIO_00763	339	375	336	221	202	200
IBPFAHIO_00764	0	6	3	1	1	2
IBPFAHIO_00765	150	158	157	44	56	37
IBPFAHIO_00766	180	197	183	88	83	66
IBPFAHIO_00767	95	111	124	181	178	175
IBPFAHIO_00768	36	37	33	21	17	27
IBPFAHIO_00769	20	21	12	8	7	16
IBPFAHIO_00770	29	14	21	16	11	16
IBPFAHIO_00771	5	9	5	5	7	6
IBPFAHIO_00772	15	17	10	17	22	11
IBPFAHIO_00773	4	4	2	3	3	3
IBPFAHIO_00774	5	7	11	15	3	5
IBPFAHIO_00775	89	80	65	92	80	62
IBPFAHIO_00776	611	746	662	1679	1577	1465
IBPFAHIO_00777	500	576	519	274	250	247
IBPFAHIO_00778	4	6	9	5	3	2
IBPFAHIO_00779	30	44	50	44	47	27
IBPFAHIO_00780	27	38	32	8	9	9
IBPFAHIO_00781	61	58	67	25	26	17
IBPFAHIO_00782	25	27	26	13	9	5
IBPFAHIO_00783	3	1	0	1	0	1
IBPFAHIO_00784	59	51	58	54	52	43
IBPFAHIO_00801	8180	9437	8955	10320	9384	8514
IBPFAHIO_00802	3773	4317	4070	4883	4153	3976
IBPFAHIO_00803	11042	12262	11096	23035	21604	19583
IBPFAHIO_00804	964	1008	1051	2258	2123	2164
IBPFAHIO_00805	4647	5613	5021	22976	22040	22265
IBPFAHIO_00806	384	413	386	207	257	224
IBPFAHIO_00807	21788	27011	22881	77684	66632	64848
IBPFAHIO_00808	19499	22045	19690	66641	60518	57450
IBPFAHIO_00809	7137	7774	7044	4410	4429	4132
IBPFAHIO_00810	893	1119	1081	635	695	636
IBPFAHIO_00811	2652	3042	2971	3104	3012	2661
IBPFAHIO_00812	0	0	0	0	0	2
IBPFAHIO_00813	22536	27400	24301	1618	1413	1234
IBPFAHIO_00814	2591	3052	2782	2954	2681	2604
IBPFAHIO_00815	0	0	0	3	0	1
IBPFAHIO_00816	7579	8968	8113	7838	7641	7035
IBPFAHIO_00817	1020	1120	1055	936	859	858
IBPFAHIO_00818	3986	4660	3963	17552	17661	15845
IBPFAHIO_00819	933	1078	897	1389	1395	1392
IBPFAHIO_00820	526	568	567	1487	1422	1254
IBPFAHIO_00821	3472	4010	3620	4923	5197	4683
IBPFAHIO_00822	917	1174	999	469	551	474
IBPFAHIO_00823	0	0	0	0	0	0
IBPFAHIO_00824	2500	2738	2623	15938	15691	14041
IBPFAHIO_00825	845	896	843	8747	8592	7626
IBPFAHIO_00826	2031	2328	2130	14394	14138	13059
IBPFAHIO_00827	1073	1304	1161	7926	8328	7605
IBPFAHIO_00828	1833	2141	1882	12000	12524	10856
IBPFAHIO_00829	1563	1833	1688	13954	11748	10432
IBPFAHIO_00830	308	339	296	2404	2494	2373
IBPFAHIO_00831	1965	2199	2048	19185	19104	16751
IBPFAHIO_00832	803	993	847	13046	13882	12092
IBPFAHIO_00833	850	1005	756	30616	29125	26365
IBPFAHIO_00834	803	990	741	29383	28709	25825
IBPFAHIO_00835	1234	1497	1230	56734	59289	51518
IBPFAHIO_00836	365	394	291	18801	15918	14657
IBPFAHIO_00837	500	519	434	23777	20454	17993
IBPFAHIO_00838	860	1052	828	44212	38666	35839
IBPFAHIO_00839	678	818	639	37899	39185	33450
IBPFAHIO_00840	527	684	588	37943	34846	29853
IBPFAHIO_00841	405	473	342	23050	25064	24470
IBPFAHIO_00842	1291	1663	1398	40907	35864	33297
IBPFAHIO_00843	710	953	745	21052	20478	18785
IBPFAHIO_00844	456	541	506	448	447	440
IBPFAHIO_00845	5838	7038	6423	5992	5690	5813
IBPFAHIO_00846	4231	5213	4812	3153	3489	2927
IBPFAHIO_00847	3238	3530	3258	3061	2941	2743
IBPFAHIO_00848	2753	2973	2764	2552	2707	2386
IBPFAHIO_00849	180	180	217	164	172	181
IBPFAHIO_00850	51925	60571	56080	100398	101957	93442
IBPFAHIO_00851	8680	10714	9694	21524	23806	24280
IBPFAHIO_00852	11577	12618	11547	12287	12304	10886
IBPFAHIO_00853	39493	39077	38776	2340	2335	1867
IBPFAHIO_00854	43	48	50	51	48	63
IBPFAHIO_00855	1906	2128	2005	8393	8651	7538
IBPFAHIO_00856	4642	5358	4901	10675	9898	9348
IBPFAHIO_00857	3204	3686	3503	3120	3282	3097
IBPFAHIO_00858	280	399	344	750	659	671
IBPFAHIO_00859	7284	8401	7545	10440	10489	9468
IBPFAHIO_00860	1516	1710	1678	2062	2029	1787
IBPFAHIO_00861	535	592	517	604	631	564
IBPFAHIO_00862	1413	1707	1564	3494	3739	3366
IBPFAHIO_00863	488	577	529	481	736	556
IBPFAHIO_00864	3217	3526	3667	768	853	779
IBPFAHIO_00865	7598	8462	7725	7794	7649	6921
IBPFAHIO_00866	16608	16835	16082	9448	10163	8275
IBPFAHIO_00867	15604	19019	16717	9790	10432	9148
IBPFAHIO_00868	323	377	356	1027	944	887
IBPFAHIO_00869	473	541	537	300	288	239
IBPFAHIO_00870	281	374	344	685	775	708
IBPFAHIO_00871	867	835	851	627	590	518
IBPFAHIO_00872	0	4	1	1	1	0
IBPFAHIO_00873	0	0	0	0	0	0
IBPFAHIO_00874	20	25	23	21	30	25
IBPFAHIO_00875	2379	2866	2672	1880	1845	1587
IBPFAHIO_00876	5660	5965	5808	5351	5207	4628
IBPFAHIO_00877	1074	1204	1091	3207	3012	2516
IBPFAHIO_00878	1481	1569	1545	4681	4634	4122
IBPFAHIO_00879	1172	1508	1434	5187	5203	4436
IBPFAHIO_00880	3402	3870	3569	19702	20258	19004
IBPFAHIO_00881	3042	3475	3207	10511	10996	9769
IBPFAHIO_00882	150	158	130	867	915	930
IBPFAHIO_00883	0	0	0	1	2	1
IBPFAHIO_00884	6116	7404	6511	11308	12536	10932
IBPFAHIO_00885	2611	3309	2825	7591	8012	6727
IBPFAHIO_00886	2467	2727	2515	7180	6568	5533
IBPFAHIO_00887	1378	1686	1469	4656	4895	4495
IBPFAHIO_00888	297	401	305	1145	1127	977
IBPFAHIO_00889	276	303	274	795	827	861
IBPFAHIO_00890	1070	1239	1157	3879	3672	3168
IBPFAHIO_00891	1379	1690	1452	4620	4809	4363
IBPFAHIO_00892	1173	1356	1268	4186	4596	3754
IBPFAHIO_00893	469	592	509	1550	1538	1356
IBPFAHIO_00894	291	392	318	1043	981	977
IBPFAHIO_00895	1035	1365	1169	2572	2480	2282
IBPFAHIO_00896	195	231	187	446	494	455
IBPFAHIO_00897	1788	1981	1797	6990	7282	6532
IBPFAHIO_00898	1	1	0	1	1	0
IBPFAHIO_00899	4080	4617	4221	20373	20245	18588
IBPFAHIO_00900	1449	1656	1522	7252	7208	7114
IBPFAHIO_00901	975	1149	1115	5406	5464	5051
IBPFAHIO_00902	233	338	275	2265	2498	2411
IBPFAHIO_00903	2041	2285	2045	7204	6901	6187
IBPFAHIO_00904	5533	6737	6011	13375	13806	12323
IBPFAHIO_00905	2927	3461	3120	7428	7710	6848
IBPFAHIO_00906	9632	11295	10218	20891	19341	17388
IBPFAHIO_00907	1738	1971	1894	4238	3959	3792
IBPFAHIO_00908	2374	3073	2691	7859	8305	7067
IBPFAHIO_00909	1623	1872	1740	4085	3859	3596
IBPFAHIO_00910	1145	1257	1039	2278	2207	1963
IBPFAHIO_00911	1658	1697	1615	3541	2894	2639
IBPFAHIO_00912	1335	1502	1467	3486	2573	2383
IBPFAHIO_00913	1615	1856	1628	3748	3623	3047
IBPFAHIO_00914	4811	4946	4775	8664	8554	7651
IBPFAHIO_00915	1810	2342	2128	5601	5170	4702
IBPFAHIO_00916	929	1000	940	348	328	297
IBPFAHIO_00917	7468	8475	8102	4131	4380	3957
IBPFAHIO_00918	19	22	18	30	39	43
IBPFAHIO_00919	0	0	0	0	0	0
IBPFAHIO_00920	1	0	0	1	1	0
IBPFAHIO_00921	1	0	0	1	0	3
IBPFAHIO_00922	0	0	0	0	0	0
IBPFAHIO_00923	1	0	0	0	0	0
IBPFAHIO_00924	0	0	0	0	0	0
IBPFAHIO_00926	21	31	34	6	7	4
IBPFAHIO_00927	0	0	0	0	0	0
IBPFAHIO_00928	0	0	0	0	0	0
IBPFAHIO_00929	0	0	0	0	0	0
IBPFAHIO_00930	78	80	66	19	17	13
IBPFAHIO_00931	0	0	0	0	0	0
IBPFAHIO_00932	0	0	0	0	0	0
IBPFAHIO_00933	0	0	0	0	0	0
IBPFAHIO_00934	359	489	428	24	19	16
IBPFAHIO_00935	310	389	333	27	31	40
IBPFAHIO_00936	1487	1812	1721	90	78	77
IBPFAHIO_00937	18	33	26	2	0	1
IBPFAHIO_00938	252	283	230	2	5	6
IBPFAHIO_00939	314	377	377	8	5	6
IBPFAHIO_00940	206	267	206	4	5	5
IBPFAHIO_00941	311	350	343	9	3	6
IBPFAHIO_00942	212	245	191	3	4	2
IBPFAHIO_00943	214	304	279	7	5	5
IBPFAHIO_00944	86	105	71	3	5	2
IBPFAHIO_00945	815	963	852	18	15	16
IBPFAHIO_00946	236	249	222	6	2	1
IBPFAHIO_00947	613	719	620	68	46	54
IBPFAHIO_00948	203	225	225	14	21	14
IBPFAHIO_00949	779	874	889	41	41	26
IBPFAHIO_00950	34	47	46	1	3	3
IBPFAHIO_00951	75	80	82	5	2	2
IBPFAHIO_00952	915	936	954	63	45	45
IBPFAHIO_00953	391	434	457	24	24	21
IBPFAHIO_00954	148	159	170	13	19	9
IBPFAHIO_00955	108	106	92	4	6	1
IBPFAHIO_00956	285	380	330	389	401	436
IBPFAHIO_00957	564	713	667	84	67	64
IBPFAHIO_00958	26	30	38	11	20	22
IBPFAHIO_00959	0	0	0	0	0	0
IBPFAHIO_00960	0	0	0	0	0	0
IBPFAHIO_00961	0	0	0	0	0	0
IBPFAHIO_00962	0	0	0	0	0	0
IBPFAHIO_00963	206	254	200	32	26	23
IBPFAHIO_00964	125	138	112	13	17	8
IBPFAHIO_00965	256	305	246	22	28	31
IBPFAHIO_00966	78	119	83	10	10	6
IBPFAHIO_00967	329	410	389	29	29	28
IBPFAHIO_00968	49	27	31	8	4	3
IBPFAHIO_00969	276	260	233	20	26	19
IBPFAHIO_00970	92	116	114	15	10	13
IBPFAHIO_00971	58	85	74	4	2	3
IBPFAHIO_00972	4784	5255	4768	246	250	205
IBPFAHIO_00973	2140	2653	2458	121	125	105
IBPFAHIO_00974	1298	1720	1537	85	70	91
IBPFAHIO_00975	1	0	1	0	0	0
IBPFAHIO_00976	503	671	595	25	24	21
IBPFAHIO_00977	33	33	40	0	2	2
IBPFAHIO_00978	107	137	151	4	12	8
IBPFAHIO_00979	1249	1286	1204	57	36	21
IBPFAHIO_00980	1748	1987	1612	69	58	77
IBPFAHIO_00981	444	521	507	18	20	12
IBPFAHIO_00982	936	1078	827	37	35	34
IBPFAHIO_00983	5428	6058	5873	189	187	163
IBPFAHIO_00984	4141	4516	4373	1010	977	942
IBPFAHIO_00985	2223	2498	2465	52	66	66
IBPFAHIO_00986	2858	3288	3212	281	222	213
IBPFAHIO_00987	1187	1754	1319	26	35	25
IBPFAHIO_00988	601	755	690	859	868	847
IBPFAHIO_00989	335	391	316	440	465	375
IBPFAHIO_00990	394	479	402	187	189	165
IBPFAHIO_00991	633	735	674	1024	1182	1091
IBPFAHIO_00992	25150	29325	26762	24354	26146	23260
IBPFAHIO_00993	785	845	773	2882	3207	2915
IBPFAHIO_00994	3069	3011	2886	1573	1660	1616
IBPFAHIO_00995	414	462	441	184	162	160
IBPFAHIO_00996	927	1068	931	413	490	465
IBPFAHIO_00997	1791	2152	2011	5977	6063	5155
IBPFAHIO_00998	1652	1876	1788	4116	3866	3377
IBPFAHIO_00999	2509	2891	2671	5014	5383	4779
IBPFAHIO_01000	3356	3805	3307	5618	5481	4900
IBPFAHIO_01001	2667	3116	2792	3454	3785	3528
IBPFAHIO_01002	2562	2777	2575	12638	10748	9471
IBPFAHIO_01003	514	583	575	4356	4018	3630
IBPFAHIO_01005	112	115	110	173	163	121
IBPFAHIO_01006	0	0	0	0	0	0
IBPFAHIO_01007	23	29	32	27	28	24
IBPFAHIO_01008	28	47	32	26	40	25
IBPFAHIO_01009	37	49	51	23	26	29
IBPFAHIO_01010	9940	11424	11021	13369	12453	10812
IBPFAHIO_01011	3039	3485	3282	5637	4796	4392
IBPFAHIO_01012	268	271	294	524	537	489
IBPFAHIO_01013	28	21	36	37	34	24
IBPFAHIO_01014	1591	1841	1972	318	339	284
IBPFAHIO_01015	402	531	474	65	72	60
IBPFAHIO_01016	5257	6229	5888	3638	4193	3814
IBPFAHIO_01017	13130	14652	13487	15609	16572	15293
IBPFAHIO_01018	7501	8736	7845	9019	8914	8287
IBPFAHIO_01019	714	798	695	893	936	883
IBPFAHIO_01020	586	733	634	449	425	378
IBPFAHIO_01021	452	461	434	830	913	872
IBPFAHIO_01022	371	432	409	2647	2743	2381
IBPFAHIO_01023	27	22	17	50	53	52
IBPFAHIO_01024	226	261	235	495	440	417
IBPFAHIO_01025	116	134	143	121	110	108
IBPFAHIO_01026	8811	10309	9690	94683	96267	88605
IBPFAHIO_01027	23132	23646	25264	219443	214770	171302
IBPFAHIO_01028	6377	7344	6901	44943	49988	42383
IBPFAHIO_01029	6994	8367	7841	53080	58570	50989
IBPFAHIO_01030	1327	1517	1499	1309	1121	1039
IBPFAHIO_01031	1715	2086	1742	1431	1438	1371
IBPFAHIO_01032	1037	1166	1148	1380	1249	1236
IBPFAHIO_01033	1122	1306	1157	785	656	687
IBPFAHIO_01034	1344	1639	1532	5391	5206	4968
IBPFAHIO_01035	82	148	124	108	76	102
IBPFAHIO_01036	293	305	331	607	540	482
IBPFAHIO_01037	3363	4366	3780	1609	1685	1625
IBPFAHIO_01038	479	638	575	1410	1304	1453
IBPFAHIO_01039	258	297	274	1101	1208	1090
IBPFAHIO_01040	144	179	145	195	197	167
IBPFAHIO_01041	170	229	184	137	149	140
IBPFAHIO_01042	117	129	120	44	44	47
IBPFAHIO_01043	249	322	290	320	406	315
IBPFAHIO_01044	231	276	230	180	201	172
IBPFAHIO_01045	541	624	585	771	656	640
IBPFAHIO_01046	2100	2472	2113	4846	4285	3994
IBPFAHIO_01047	836	943	858	1781	1822	1683
IBPFAHIO_01048	390	418	380	1520	1144	963
IBPFAHIO_01049	213	269	260	680	612	568
IBPFAHIO_01050	449	500	499	1888	1899	1769
IBPFAHIO_01051	1803	1943	1834	5809	4823	4845
IBPFAHIO_01052	1947	2395	2098	4913	4787	4281
IBPFAHIO_01053	1541	1785	1545	1432	1347	1168
IBPFAHIO_01054	956	1073	907	877	820	793
IBPFAHIO_01055	496	610	523	954	942	837
IBPFAHIO_01056	2815	3043	2949	6345	6788	6682
IBPFAHIO_01057	0	0	0	0	0	0
IBPFAHIO_01058	10579	12388	11393	8582	9286	8510
IBPFAHIO_01059	312	341	323	579	620	570
