IBPFAHIO_00198	1817
IBPFAHIO_00199	5900
IBPFAHIO_00200	5747
IBPFAHIO_00201	3244
IBPFAHIO_00202	5573
IBPFAHIO_00203	9675
IBPFAHIO_00204	17948
IBPFAHIO_00205	5510
IBPFAHIO_00206	97
IBPFAHIO_00207	1497
IBPFAHIO_00208	330
IBPFAHIO_00209	166
IBPFAHIO_00210	86
IBPFAHIO_00211	88
IBPFAHIO_00212	2060
IBPFAHIO_00213	2363
IBPFAHIO_00214	3589
IBPFAHIO_00215	2982
IBPFAHIO_00216	4093
IBPFAHIO_00217	766
IBPFAHIO_00218	2257
IBPFAHIO_00219	390
IBPFAHIO_00220	38
IBPFAHIO_00221	40
IBPFAHIO_00222	107
IBPFAHIO_00223	67
IBPFAHIO_00224	22
IBPFAHIO_00225	42
IBPFAHIO_00226	86
IBPFAHIO_00227	32
IBPFAHIO_00228	851
IBPFAHIO_00229	581
IBPFAHIO_00230	1265
IBPFAHIO_00231	1050
IBPFAHIO_00232	1476
IBPFAHIO_00233	33816
IBPFAHIO_00234	750
IBPFAHIO_00235	1
IBPFAHIO_00236	1335
IBPFAHIO_00237	1087
IBPFAHIO_00238	3759
IBPFAHIO_00239	1864
IBPFAHIO_00240	1863
IBPFAHIO_00241	13590
IBPFAHIO_00242	2399
IBPFAHIO_00243	6678
IBPFAHIO_00244	5449
IBPFAHIO_00245	1985
IBPFAHIO_00246	574
IBPFAHIO_00247	2175
IBPFAHIO_00248	1024
IBPFAHIO_00249	3539
IBPFAHIO_00250	244
IBPFAHIO_00251	3759
IBPFAHIO_00252	2635
IBPFAHIO_00253	0
IBPFAHIO_00254	133
IBPFAHIO_00255	268
IBPFAHIO_00256	14
IBPFAHIO_00257	330
IBPFAHIO_00258	898
IBPFAHIO_00259	2378
IBPFAHIO_00260	527
IBPFAHIO_00261	1070
IBPFAHIO_00262	3473
IBPFAHIO_00263	633
IBPFAHIO_00264	1012
IBPFAHIO_00265	1547
IBPFAHIO_00266	7717
IBPFAHIO_00267	84
IBPFAHIO_00268	1
IBPFAHIO_00269	4
IBPFAHIO_00270	511
IBPFAHIO_00271	182
IBPFAHIO_00272	449
IBPFAHIO_00273	30
IBPFAHIO_00274	51
IBPFAHIO_00275	5
IBPFAHIO_00276	10
IBPFAHIO_00277	37
IBPFAHIO_00278	0
IBPFAHIO_00279	26
IBPFAHIO_00280	45
IBPFAHIO_00281	1414
IBPFAHIO_00282	699
IBPFAHIO_00283	60
IBPFAHIO_00284	54
IBPFAHIO_00285	283
IBPFAHIO_00286	9
IBPFAHIO_00287	223
IBPFAHIO_00288	53
IBPFAHIO_00289	93
IBPFAHIO_00290	312
IBPFAHIO_00291	351
IBPFAHIO_00292	12
IBPFAHIO_00293	2
IBPFAHIO_00294	0
IBPFAHIO_00295	3
IBPFAHIO_00296	2
IBPFAHIO_00297	2
IBPFAHIO_00298	2
IBPFAHIO_00299	1
IBPFAHIO_00300	4
IBPFAHIO_00301	6
IBPFAHIO_00302	21
IBPFAHIO_00303	15
IBPFAHIO_00304	237
IBPFAHIO_00305	15222
IBPFAHIO_00306	22
IBPFAHIO_00307	164
IBPFAHIO_00308	297
IBPFAHIO_00309	156
IBPFAHIO_00310	195
IBPFAHIO_00312	70
IBPFAHIO_00313	100
IBPFAHIO_00314	50
IBPFAHIO_00315	42
IBPFAHIO_00316	9
IBPFAHIO_00317	62
IBPFAHIO_00318	162
IBPFAHIO_00319	510
IBPFAHIO_00320	47
IBPFAHIO_00321	0
IBPFAHIO_00322	1124
IBPFAHIO_00323	236
IBPFAHIO_00324	141
IBPFAHIO_00325	59
IBPFAHIO_00326	147
IBPFAHIO_00327	35
IBPFAHIO_00328	1730
IBPFAHIO_00329	647
IBPFAHIO_00330	1236
IBPFAHIO_00331	154
IBPFAHIO_00332	0
IBPFAHIO_00333	75
IBPFAHIO_00334	99
IBPFAHIO_00335	64
IBPFAHIO_00336	48
