"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_00001",0.164196858138009,1.14991949468353,4.0804728567969,0.28181035263305,0.778088932287453,0.810881952422173
"IBPFAHIO_00003",2.55578816149405,0.780370052189973,1.10956543698621,0.703311428219687,0.481861690221649,0.53180751646742
"IBPFAHIO_00004",139.13383737202,0.270030807172396,0.15686837097808,1.72138465828863,0.0851810463272298,0.107310185520451
"IBPFAHIO_00006",1144.16599685281,-0.776281345997278,0.0749475151364126,-10.3576662226141,3.86271686789448e-25,1.02914059383262e-24
"IBPFAHIO_00007",272.75904254256,-0.987945680240444,0.128205104512425,-7.70597772996394,1.29845273062442e-14,2.80503290254748e-14
"IBPFAHIO_00008",3.65926539806457,-0.600611187931512,0.947621637997455,-0.633809068776377,0.526205434055129,0.574391338450546
"IBPFAHIO_00009",1057.14960848231,0.154516022895124,0.0789148630858789,1.95800913608596,0.0502289406683391,0.0650866134602298
"IBPFAHIO_00010",1577.88765690344,0.409037598202522,0.0664108385999634,6.15919941421652,7.31136135063985e-10,1.37151054301658e-09
"IBPFAHIO_00011",72.516134907017,-0.354793204032832,0.214882992164746,-1.65109951447819,0.0987182564506289,0.122949160087202
"IBPFAHIO_00012",115.358056983751,0.0467166828868408,0.180624843441865,0.258639298983679,0.795913558464119,0.827152958292687
"IBPFAHIO_00013",11086.7286345388,0.698419989556269,0.0521377040127607,13.3956798209858,6.40865292812756e-41,2.14618831205673e-40
"IBPFAHIO_00014",1247.29157884322,-0.291894824737541,0.0750712441770103,-3.88823747278363,0.00010097480836237,0.000157680911597187
"IBPFAHIO_00015",749.967839870092,0.576268766192144,0.0814157394135784,7.07810025853594,1.4614398390008e-12,2.99700342583303e-12
"IBPFAHIO_00016",800.917656295903,0.729787275713233,0.0838289688075878,8.70566924649055,3.15706271124262e-18,7.37963408752961e-18
"IBPFAHIO_00017",1203.85970422903,0.542388043085387,0.0812479790139095,6.6757111951367,2.46036065699944e-11,4.84940651234671e-11
"IBPFAHIO_00018",5703.3931959546,0.795115591602054,0.0589259033183097,13.4934815900394,1.70838623179052e-41,5.78877871519507e-41
"IBPFAHIO_00019",20205.6618968509,0.114280775385867,0.0640290020490595,1.78482830793309,0.0742891701950639,0.094223483350416
"IBPFAHIO_00020",5.51078582657484,-0.619738491749452,0.787243930582292,-0.787225493489745,0.431149876089184,0.482603976527811
"IBPFAHIO_00021",53.1438788929173,1.34699834556256,0.257211666845197,5.23692553329337,1.63273529681064e-07,2.86350762488712e-07
"IBPFAHIO_00022",0,NA,NA,NA,NA,NA
"IBPFAHIO_00023",6.17951864254945,-0.931856403458184,0.786626038328514,-1.18462440607518,0.236165982891337,0.277973493631345
"IBPFAHIO_00024",220.297709820963,-0.263311370361015,0.152469899032279,-1.72697281255016,0.0841725463001421,0.106173802078425
"IBPFAHIO_00025",3990.8534372647,3.3650791857837,0.0906479887937641,37.122491415002,1.21858439211315e-301,2.14470853011914e-300
"IBPFAHIO_00026",12.5080606877794,0.064559490010426,0.513270260644134,0.125780694812527,0.899905523701082,0.918947893144586
"IBPFAHIO_00027",4715.73466547387,2.96216290882436,0.0978409743188696,30.2752801619749,2.42564705441665e-201,2.72839698752429e-200
"IBPFAHIO_00028",1646.41886476133,-0.859127287810869,0.0669557091344032,-12.8312775552314,1.09542812755041e-37,3.50162495473378e-37
"IBPFAHIO_00029",713.471692211337,0.175844814211646,0.0876136758023091,2.00704755965748,0.0447445991619016,0.0581563165475281
